facture_id,code_article,quantite,prix_unitaire
VTE3YEXL,(None),1,
VTEI0LXD,« 2 capitaines d’industries…. »,1,
VTEAL6VW,"Sil-Cp
« Mon cahier… »",1,
VTE7VFM0,« Le Ghômala… »,1,
VTE1NNJY,« L’Urgence de la pensée… »,1,
VTEQAGVC,"CM2
(R. Gineste)",1,
VTEZBJSF,« 2 capitaines d’industries…. »,1,
VTEWBYC2,Fournitures,1,
VTEF1WUS,SIL,1,
VTEF1WUS,CE1,1,
VTEF1WUS,CM1,1,
VTEU2F5K,Form 5,1,
VTENKKFY,Class 2 & 5,1,
VTE1XC0D,SIL au CM2 (vieux livres de Fçais),1,
VTE60SGX,"« L’urgence … »
« Les règles…. »",1,
VTEM9FFJ,Fournitures,1,
VTE2SO16,5ème,1,
VTESLB1P,SIL,1,
VTEGA0JB,CP,1,
VTEDQGYC,6è,1,
VTEUHNV4,3è,1,
VTE8WJBU,Class 4,1,
VTE1XE2N,CE2,1,
VTESS1DI,Fournitures,1,
VTERQORX,(None),1,
VTEOALKJ,Class 1,1,
VTEEYCHV,« Deux capitaines … »,1,
VTEYLS4S,CM2,1,
VTEXPH9W,Class 4,1,
VTE1EIRN,CE2,1,
VTEC9JL5,5è,1,
VTE9QK2K,5è,1,
VTE8NK97,Class 4,1,
VTEYVKSM,6è,1,
VTEP4EML,CE1,1,
VTEP4EML,CM1 & Class 6,1,
VTES19A2,5è,1,
VTELSTMS,Class 2,1,
VTELMX5C,6ème,1,
VTE6GNAX,6ème,1,
VTEOQ92M,6ème,1,
VTEJROM2,2nde SES,1,
VTE7AIEX,CM2,1,
VTER5GX8,5ème,1,
VTETOAAS,Fournitures,1,
VTEALH5E,Maternelle/CM1,1,
VTEALH5E,CE1,1,
VTEALH5E,Class 3,1,
VTEALH5E,etc..,1,
VTEAAT28,Class V & VI,1,
VTEYSF97,Pre-Nursery,1,
VTEYSF97,Class 2 & CP,1,
VTECA966,Sil/Class 1,1,
VTED2NLQ,Class 2,1,
VTED2NLQ,5 & CP,1,
VTEGVTKR,CM1 & Form 1,1,
VTEZD0Y4,G.s,1,
VTEZD0Y4,SIL & CM1,1,
VTEIKCSI,3è,1,
VTEIKCSI,Form 1 & 4è,1,
VTEA727U,4è,1,
VTEROP3F,Ps,1,
VTEROP3F,Gs,1,
VTEROP3F,Nursery 2 & Class 2,1,
VTEZHM96,Class 5 & 6,1,
VTEDW2F4,Cm2,1,
VTEDW2F4,CE2 & CP,1,
VTENY2S9,6è & CE2,1,
VTESYJ9O,Class 3 & 5,1,
VTEEOXVF,6è,1,
VTEEOXVF,4è,1,
VTEEOXVF,CE1 & Maternelle,1,
VTEXCIQI,Class 1,1,
VTE14Q6Z,5è,1,
VTE6M3EN,SIL & CM2,1,
VTE0TW9Q,Class 5,1,
VTE0TW9Q,CM1 & CE1,1,
VTEOTBTG,Class 2 & CP,1,
VTE721C5,Class 1,1,
VTE721C5,4,1,
VTE721C5,SIL & CE2,1,
VTEAUAI7,4è,1,
VTEAUAI7,5è & 6è,1,
VTEBS0WI,Nursery 2 & Fourn.,1,
VTEWS8P4,4è,1,
VTEAIZRR,Form 1 & Class 4,1,
VTEUIJEC,Sil,1,
VTE26HOJ,CM2,1,
VTE63OW0,CP,1,
VTE63OW0,CE1,1,
VTE63OW0,CE2  & Fourn.,1,
VTEES45M,CM1 & Gs,1,
VTEGL5BS,Sil/Class 1,1,
VTE70WZ8,6è,1,
VTEZCJOL,CE1,1,
VTEZCJOL,Class 3 & 3è Esp,1,
VTEWIRZA,4è,1,
VTEWIRZA,CM2 & Class 6,1,
VTESLM1Q,Form 5,1,
VTE50YKW,CM2,1,
VTEHKR3C,Class 4,1,
VTEHKR3C,5 & Nursery 2,1,
VTEMWL38,CE1,1,
VTEMWL38,CP,1,
VTEMWL38,CM2 & SIL,1,
VTE7XN7Y,Fournitures,1,
VTEXLQAR,4è Esp,1,
VTES61E2,Nursery 2,1,
VTENEOVF,Form 1,1,
VTE5ZK7M,Nursery 2 & Maternelle 2,1,
VTEL407E,6è & CM2,1,
VTEXUM5O,Nursery 1,1,
VTEQER3A,CE1,1,
VTEXC7KH,CE1,1,
VTE9R1X3,6è,1,
VTEVKXCI,Nursery 1,1,
VTERUOXJ,6è,1,
VTE50H7F,CP,1,
VTE50H7F,CE1,1,
VTE50H7F,CM1 & 4è,1,
VTEREG7J,Form 1,1,
VTEQFDEV,1ère Esp.,1,
VTEQVA1Q,6è,1,
VTE9YCF4,5è,1,
VTE9YCF4,1ère Esp & 1ère D,1,
VTEW3Y9Q,Sil & Class 2,1,
VTEOS15P,2nde A Esp,1,
VTEDRL23,4è,1,
VTEDBJRS,Class 2,1,
VTEXPKEK,CP & Class 2,1,
VTE2PEQO,3ème,1,
VTECVTGB,(None),1,
VTE2W0YP,(None),1,
VTEZ809Q,(None),1,
VTE5BAGY,Livres et fournitures,1,
VTEZ01WX,Livres africains,1,
VTELITOF,Cf liste livres seconde main,1,
VTE6IY79,Form 1,1,
VTENSUVC,CLASS 2 & Class 4,1,
VTEH3WKA,Class 2,1,
VTEH3WKA,Class 5,1,
VTEH3WKA,Form 2,1,
VTEZVV77,(None),1,
VTEXLTMO,Form 1,1,
