facture_id,date_facture,client_id,montant_total,ville,mode_paiement
VTE3YEXL,2022-01-01,CLT9CC0T,0,Douala,Inconnu
VTEI0LXD,2022-01-01,CLTM1SND,10000,Douala,Inconnu
VTEAL6VW,2022-01-01,CLT64T3M,2000,Douala,Inconnu
VTE7VFM0,2022-01-01,CLTHF8DW,6000,Douala,Inconnu
VTE1NNJY,2022-01-01,CLTL25D5,10000,Douala,Inconnu
VTEQAGVC,2022-01-01,CLTUMHYT,0,Douala,Inconnu
VTEZBJSF,2022-01-01,CLTDBACI,0,Douala,Inconnu
VTEWBYC2,2022-01-01,CLT35X3S,0,Douala,Inconnu
VTEF1WUS,2022-01-01,CLT86KS5,0,Douala,Inconnu
VTEU2F5K,2022-01-01,CLTJKXUQ,0,Douala,Inconnu
VTENKKFY,2022-01-01,CLTYTB02,35000,Douala,Inconnu
VTE1XC0D,2022-01-01,CLT5JMDE,0,Douala,Inconnu
VTE60SGX,2022-01-01,CLTW2R8X,17000,Douala,Inconnu
VTEM9FFJ,2022-01-01,CLTX9MOB,0,Douala,Inconnu
VTE2SO16,2022-01-01,CLT1WG12,12000,Douala,Inconnu
VTESLB1P,2022-01-01,CLTISSO8,12700,Douala,Inconnu
VTEGA0JB,2022-01-01,CLTISSO8,11700,Douala,Inconnu
VTEDQGYC,2022-01-01,CLTUMHYT,43200,Douala,Inconnu
VTEUHNV4,2022-01-01,CLTUMHYT,55300,Douala,Inconnu
VTE8WJBU,2022-01-01,CLT3B4UC,11550,Douala,Inconnu
VTE1XE2N,2022-01-01,CLT3B4UC,8000,Douala,Inconnu
VTESS1DI,2022-01-01,CLTX9MOB,20450,Douala,Inconnu
VTERQORX,2022-01-01,CLT1CG0V,0,Douala,Inconnu
VTEOALKJ,2022-01-01,CLTJZ30Q,12400,Douala,Inconnu
VTEEYCHV,2022-01-01,CLTBEEYW,0,Douala,Inconnu
VTEYLS4S,2022-01-01,CLTSB5R3,13450,Douala,Inconnu
VTEXPH9W,2022-01-01,CLTPV9C6,0,Douala,Inconnu
VTE1EIRN,2022-01-01,CLT8WMJW,12900,Douala,Inconnu
VTEC9JL5,2022-01-01,CLT6WVUZ,26700,Douala,Inconnu
VTE9QK2K,2022-01-01,CLTH1HFW,26700,Douala,Inconnu
VTE8NK97,2022-01-01,CLTE2AV5,10650,Douala,Inconnu
VTEYVKSM,2022-01-01,CLTE2AV5,39600,Douala,Inconnu
VTEP4EML,2022-01-01,CLT4XTM6,52200,Douala,Inconnu
VTES19A2,2022-01-01,CLTHHHBA,18950,Douala,Inconnu
VTELSTMS,2022-01-01,CLTHHHBA,8400,Douala,Inconnu
VTELMX5C,2022-01-01,CLTQ5GPE,45400,Douala,Inconnu
VTE6GNAX,2022-01-01,CLTKZC2Q,0,Douala,Inconnu
VTEOQ92M,2022-01-01,CLTS3I3F,54800,Douala,Inconnu
VTEJROM2,2022-01-01,CLTNCHHJ,38800,Douala,Inconnu
VTE7AIEX,2022-01-01,CLTNCHHJ,26250,Douala,Inconnu
VTER5GX8,2022-01-01,CLT4QCAZ,24600,Douala,Inconnu
VTETOAAS,2022-01-01,CLT78E28,95600,Douala,Inconnu
VTEALH5E,2022-01-01,CLT96BM9,241900,Douala,Inconnu
VTEAAT28,2022-01-01,CLTJ3EH4,111000,Douala,Inconnu
VTEYSF97,2022-01-01,CLT6ABDG,95950,Douala,Inconnu
VTECA966,2022-01-01,CLT87AGP,26900,Douala,Inconnu
VTED2NLQ,2022-01-01,CLT9GW6X,69150,Douala,Inconnu
VTEGVTKR,2022-01-01,CLTUMTSQ,49250,Douala,Inconnu
VTEZD0Y4,2022-01-01,CLTMQTUG,42850,Douala,Inconnu
VTEIKCSI,2022-01-01,CLTFYQTU,140000,Douala,Inconnu
VTEA727U,2022-01-01,CLTMQTUG,40350,Douala,Inconnu
VTEROP3F,2022-01-01,CLTZ7MQ6,33600,Douala,Inconnu
VTEZHM96,2022-01-01,CLTJ3EH4,111000,Douala,Inconnu
VTEDW2F4,2022-01-01,CLTRLIO2,143000,Douala,Inconnu
VTENY2S9,2022-01-01,CLT2ABOC,48600,Douala,Inconnu
VTESYJ9O,2022-01-01,CLTFYQTU,52500,Douala,Inconnu
VTEEOXVF,2022-01-01,CLTNBDZ4,120000,Douala,Inconnu
VTEXCIQI,2022-01-01,CLTXLNMS,11400,Douala,Inconnu
VTE14Q6Z,2022-01-01,CLTC5PNN,45000,Douala,Inconnu
VTE6M3EN,2022-01-01,CLTZ3TUL,25500,Douala,Inconnu
VTE0TW9Q,2022-01-01,CLT3OGDY,47250,Douala,Inconnu
VTEOTBTG,2022-01-01,CLTK8D5J,34200,Douala,Inconnu
VTE721C5,2022-01-01,CLTUPX8T,35500,Douala,Inconnu
VTEAUAI7,2022-01-01,CLTWXFCG,72600,Douala,Inconnu
VTEBS0WI,2022-01-01,CLT91HOX,43350,Douala,Inconnu
VTEWS8P4,2022-01-01,CLT7RK0F,53650,Douala,Inconnu
VTEAIZRR,2022-01-01,CLTPBAQ0,66650,Douala,Inconnu
VTEUIJEC,2022-01-01,CLTGL5TP,11300,Douala,Inconnu
VTE26HOJ,2022-01-01,CLTPDU4V,37850,Douala,Inconnu
VTE63OW0,2022-01-01,CLT0PPC8,61450,Douala,Inconnu
VTEES45M,2022-01-01,CLTMQTUG,20600,Douala,Inconnu
VTEGL5BS,2022-01-01,CLTS8X7N,37700,Douala,Inconnu
VTE70WZ8,2022-01-01,CLTMXQ6X,0,Douala,Inconnu
VTEZCJOL,2022-01-01,CLTK5RV3,35000,Douala,Inconnu
VTEWIRZA,2022-01-01,CLTASHFT,141050,Douala,Inconnu
VTESLM1Q,2022-01-01,CLTRZ8RB,45500,Douala,Inconnu
VTE50YKW,2022-01-01,CLTVY64C,40950,Douala,Inconnu
VTEHKR3C,2022-01-01,CLTEPY6Y,27800,Douala,Inconnu
VTEMWL38,2022-01-01,CLTMC3PG,58450,Douala,Inconnu
VTE7XN7Y,2022-01-01,CLT8ZZSZ,13650,Douala,Inconnu
VTEXLQAR,2022-01-01,CLTN6Y2R,49250,Douala,Inconnu
VTES61E2,2022-01-01,CLTXLNMS,7800,Douala,Inconnu
VTENEOVF,2022-01-01,CLT3VT8Z,16800,Douala,Inconnu
VTE5ZK7M,2022-01-01,CLTF22Y2,17000,Douala,Inconnu
VTEL407E,2022-01-01,CLT3DT4L,29250,Douala,Inconnu
VTEXUM5O,2022-01-01,CLTMS783,35050,Douala,Inconnu
VTEQER3A,2022-01-01,CLTA71LK,14900,Douala,Inconnu
VTEXC7KH,2022-01-01,CLTQR3WH,12400,Douala,Inconnu
VTE9R1X3,2022-01-01,CLTZKAX1,11500,Douala,Inconnu
VTEVKXCI,2022-01-01,CLTMS783,8400,Douala,Inconnu
VTERUOXJ,2022-01-01,CLTU1GL5,14400,Douala,Inconnu
VTE50H7F,2022-01-01,CLT2LQEY,43500,Douala,Inconnu
VTEREG7J,2022-01-01,CLT3VT8Z,4000,Douala,Inconnu
VTEQFDEV,2022-01-01,CLTF3UG4,27100,Douala,Inconnu
VTEQVA1Q,2022-01-01,CLTHVDTS,4500,Douala,Inconnu
VTE9YCF4,2022-01-01,CLTN6Y2R,80700,Douala,Inconnu
VTEW3Y9Q,2022-01-01,CLTA5AOY,24200,Douala,Inconnu
VTEOS15P,2022-01-01,CLTCL5A8,34900,Douala,Inconnu
VTEDRL23,2022-01-01,CLTPDODA,11600,Douala,Inconnu
VTEDBJRS,2022-01-01,CLTYK1U6,16800,Douala,Inconnu
VTEXPKEK,2022-01-01,CLTZ7MQ6,9050,Douala,Inconnu
VTE2PEQO,2022-01-01,CLTKPOQD,12950,Douala,Inconnu
VTECVTGB,2023-01-01,CLT20GKT,547330,Douala,Inconnu
VTE2W0YP,2023-01-01,CLTOSTGS,394250,Douala,Inconnu
VTEZ809Q,2023-01-01,CLTOSTGS,576000,Douala,Inconnu
VTE5BAGY,2023-01-01,CLTFF9H4,1059852,Douala,Inconnu
VTEZ01WX,2023-01-01,CLTYH0NY,293000,Yaoundé,Inconnu
VTELITOF,2023-01-01,CLT8BLYG,78000,Yaoundé,Inconnu
VTE6IY79,2023-01-01,CLT902E2,13000,Yaoundé,Inconnu
VTENSUVC,2023-01-01,CLTWQ2EJ,3300,Yaoundé,Inconnu
VTEH3WKA,2023-01-01,CLTYBW9T,19600,Yaoundé,Inconnu
VTEZVV77,2023-01-01,CLTYBW9T,104000,Yaoundé,Inconnu
VTEXLTMO,2023-01-01,CLT902E2,4900,Yaoundé,Inconnu
VTE9JQHR,2023-01-01,CLTYBW9T,71500,Yaoundé,Inconnu
VTEMIAOR,2023-01-01,CLTYBW9T,49000,Yaoundé,Inconnu
VTEHVKUR,2023-01-01,CLTYBW9T,25000,Yaoundé,Inconnu
VTESMDHE,2023-01-01,CLTYBW9T,10000,Yaoundé,Inconnu
VTETU7Y0,2023-01-01,CLTPUQJ0,5927472,Nanga,Inconnu
VTERHZ8J,2023-01-01,CLTBFIZ3,410000,Tonga,Inconnu
VTE8IZ7O,2023-01-01,CLTNK1E0,125,Yaoundé,Inconnu
VTEOJXZG,2023-01-01,CLT2HIHK,6400,Yaoundé,Inconnu
VTEN7VTC,2023-01-01,CLTXSMTP,25350,Yaoundé,Inconnu
VTEXFZ8S,2023-01-01,CLT0AWX9,31800,Yaoundé,Inconnu
VTEYLYP1,2023-01-01,CLTTKDWM,5300,Yaoundé,Inconnu
VTE8SYGH,2023-01-01,CLTNK1E0,300,Yaoundé,Inconnu
VTEYG70N,2023-01-01,CLTNK1E0,200,Yaoundé,Inconnu
VTE1C962,2023-01-01,CLT0QMP3,26100,Yaoundé,Inconnu
VTECPWGF,2023-01-01,CLTXDKWG,10300,Yaoundé,Inconnu
VTE07FXS,2023-01-01,CLTKABK5,7000,Yaoundé,Inconnu
VTE9WJ7K,2023-01-01,CLTSF90A,19950,Yaoundé,Inconnu
VTE3X9G5,2023-01-01,CLTXM0I3,10500,Yaoundé,Inconnu
VTEJ9300,2023-01-01,CLTCDOYX,10600,Yaoundé,Inconnu
VTEKLJXK,2023-01-01,CLT9H9W6,7700,Yaoundé,Inconnu
VTE3YS3K,2023-01-01,CLTWZXE0,12100,Yaoundé,Inconnu
VTE6UB65,2023-01-01,CLTNK1E0,350,Yaoundé,Inconnu
VTE6IUA7,2023-01-01,CLTNK1E0,1200,Yaoundé,Inconnu
VTEEOQL6,2023-01-01,CLTV4H7T,12000,Yaoundé,Inconnu
VTE7QVK0,2023-01-01,CLTUE3FF,8400,Yaoundé,Inconnu
VTE7GF9Z,2023-01-01,CLTE9UP0,16700,Yaoundé,Inconnu
VTE2R4KQ,2023-01-01,CLTNK1E0,250,Yaoundé,Inconnu
VTE8O1HV,2023-01-01,CLTOWV1M,12100,Yaoundé,Inconnu
VTECYYS5,2023-01-01,CLTTW315,13700,Yaoundé,Inconnu
VTEOQ54R,2023-01-01,CLTUE3FF,24900,Yaoundé,Inconnu
VTEFLS65,2023-01-01,CLT7FLV9,22350,Yaoundé,Inconnu
VTEAJHYM,2023-01-01,CLTNK1E0,1050,Yaoundé,Inconnu
VTEPMFEC,2023-01-01,CLT1VPN2,45000,Yaoundé,Inconnu
VTEKJSNG,2023-01-01,CLTFIGR0,30200,Yaoundé,Inconnu
VTED5C92,2023-01-01,CLT3YMWY,14600,Yaoundé,Inconnu
VTE8W794,2023-01-01,CLTPNYO9,24800,Yaoundé,Inconnu
VTEMTQ5O,2023-01-01,CLTUKYN8,32350,Yaoundé,Inconnu
VTE9E9WL,2023-01-01,CLTOUUVN,36100,Yaoundé,Inconnu
VTETM454,2023-01-01,CLT3UJGI,4500,Yaoundé,Inconnu
VTEM74OX,2023-01-01,CLTNK1E0,24750,Yaoundé,Inconnu
VTEUZWH6,2023-01-01,CLTNK1E0,33900,Yaoundé,Inconnu
VTEGY802,2023-01-01,CLTXP5L2,9500,Yaoundé,Inconnu
VTEHIYU1,2023-01-01,CLTNK1E0,300,Yaoundé,Inconnu
VTENRUM9,2023-01-01,CLTTFLL4,2000,Yaoundé,Inconnu
VTEI4ZNB,2023-01-01,CLTNK1E0,42300,Yaoundé,Inconnu
VTEDV47Y,2023-01-01,CLTNK1E0,32750,Yaoundé,Inconnu
VTEHNU63,2023-01-01,CLTNK1E0,1900,Yaoundé,Inconnu
VTEETTIO,2023-01-01,CLTD5ETN,77000,Yaoundé,Inconnu
VTEO4OY6,2023-01-01,CLTMAKUU,7900,Yaoundé,Inconnu
VTEV8HN3,2023-01-01,CLTNK1E0,4850,Yaoundé,Inconnu
VTEJZ1L5,2023-01-01,CLTNK1E0,3050,Yaoundé,Inconnu
VTELTXZW,2023-01-01,CLTNK1E0,41825,Yaoundé,Inconnu
VTEVV0H0,2023-01-01,CLTNK1E0,2500,Yaoundé,Inconnu
