code,designation,prix,type_article
FOUR0001,Cahiers de dessin 16 pages petit format,300,fourniture
FOUR0002,Cahiers de dessin 32 pages petit format,500,fourniture
FOUR0003,Cahiers de dessin 32 pages grand format,1000,fourniture
FOUR0004,Paquet de cahier de dessin petit format,2000,fourniture
FOUR0005,Paquet de cahier de dessin grand format,3500,fourniture
FOUR0006,Cahiers double ligne banane,200,fourniture
FOUR0007,Cahiers double ligne 32 pages,200,fourniture
FOUR0008,Paquet cahiers double ligne banane,4000,fourniture
FOUR0009,Paquet de cahiers double ligne 32 pages,2000,fourniture
FOUR0010,Cahiers de 50 pages,250,fourniture
FOUR0011,Cahiers de 100 pages,250,fourniture
FOUR0012,Cahiers de 120 pages,300,fourniture
FOUR0013,Cahiers de 144 pages,300,fourniture
FOUR0014,Cahiers de 200 pages,350,fourniture
FOUR0015,Cahiers de 288 pages,600,fourniture
FOUR0016,Cahiers de 300 pages,600,fourniture
FOUR0017,Cahiers de 400 pages,1000,fourniture
FOUR0018,Cahiers TP sans format 100 pages,700,fourniture
FOUR0019,Cahiers TP sans format 120 pages,700,fourniture
FOUR0020,Cahiers TP sans format 144 pages,750,fourniture
FOUR0021,Cahiers TP sans format 200 pages,750,fourniture
FOUR0022,Cahiers TP sans format 288 pages,1300,fourniture
FOUR0023,Cahiers TP sans format 300 pages,1500,fourniture
FOUR0024,Cahiers TP sans format 400 pages,1800,fourniture
FOUR0025,Cahiers TP avec format 100 pages,700,fourniture
FOUR0026,Cahiers TP avec format 120 pages,700,fourniture
FOUR0027,Cahiers TP avec format 144 pages,750,fourniture
FOUR0028,Cahiers TP avec format 200 pages,750,fourniture
FOUR0029,Cahiers TP avec format 288 pages,1300,fourniture
FOUR0030,Cahiers TP avec format 300 pages,1500,fourniture
FOUR0031,Cahiers TP avec format 400 pages,1800,fourniture
FOUR0032,Paquet de cahiers de 50 pages,3000,fourniture
FOUR0033,Paquet de cahiers de 100 pages,2000,fourniture
FOUR0034,Paquet de cahiers de 120 pages,2500,fourniture
FOUR0035,Paquet de cahiers de 144 pages,1500,fourniture
FOUR0036,Paquet de cahiers de 200 pages,1700,fourniture
FOUR0037,Paquet de cahiers de 288 pages,2800,fourniture
FOUR0038,Paquet de cahiers de 300 pages,3000,fourniture
FOUR0039,Paquet de cahiers de 400 pages,3000,fourniture
FOUR0040,Paquet de cahiers TP sans format 100 pages,4500,fourniture
FOUR0041,Paquet de cahiers TP sans format 120 pages,6000,fourniture
FOUR0042,Paquet de cahiers TP sans format 144 pages,3500,fourniture
FOUR0043,Paquet de cahiers TP sans format 200 pages,3500,fourniture
FOUR0044,Paquet de cahiers TP sans format 288 pages,6000,fourniture
FOUR0045,Paquet de cahiers TP sans format 300 pages,6500,fourniture
FOUR0046,Paquet de cahiers TP sans format 400 pages,5000,fourniture
FOUR0047,Paquet de cahiers TP avec format 100 pages,4500,fourniture
FOUR0048,Paquet de cahiers TP avec format 120 pages,6000,fourniture
FOUR0049,Paquet de cahiers TP avec format 144 pages,3500,fourniture
FOUR0050,Paquet de cahiers TP avec format 200 pages,3500,fourniture
FOUR0051,Paquet de cahiers TP avec format 288 pages,6000,fourniture
FOUR0052,Paquet de cahiers TP avec format 300 pages,6500,fourniture
FOUR0053,Paquet de cahiers TP avec format 400 pages,5000,fourniture
FOUR0054,Leaves plain 20 LP,200,fourniture
FOUR0055,Leaves plain 40 LP,300,fourniture
FOUR0056,Leaves plain 60 LP,325,fourniture
FOUR0057,Leaves plain 80 LP,350,fourniture
FOUR0058,Leaves square 20 LS,200,fourniture
FOUR0059,Leaves square 40 LS,300,fourniture
FOUR0060,Leaves square 60 LS,325,fourniture
FOUR0061,Leaves square 80 LS,350,fourniture
FOUR0062,Ledger 200 petit format,1000,fourniture
FOUR0063,Ledger 300 petit format,1500,fourniture
FOUR0064,Ledger 400 petit format,1700,fourniture
FOUR0065,Ledger 200 page grand format,1300,fourniture
FOUR0066,Ledger 300 page grand format,1700,fourniture
FOUR0067,Ledger 400 page grand format,2000,fourniture
FOUR0068,Ledger 500 page grand format,2500,fourniture
FOUR0069,Paquet de leaves plain 20 LP,2000,fourniture
FOUR0070,Paquet de leaves plain 40 LP,2000,fourniture
FOUR0071,Paquet de leaves plain 60 LP,2500,fourniture
FOUR0072,Paquet de leaves plain 80 LP,1500,fourniture
FOUR0073,Paquet de leaves square 20 LS,2000,fourniture
