code,designation,prix,type_article,nature,classe,ville
MAT_645,"Dessin, Peinture, Coloriage : Je Pratique Le Dessin Et Le Coloriage (AFRICA EDUCATION)",1000,manuel,Homologué,Maternelle 1ère année,
MAT_5216,Langage : Mon Cahier D’activités De Langage 1ère Année (NATHAN),1000,manuel,Homologué,Maternelle 1ère année,
MAT_9498,Mathématiques : Mon Cahier D’activités De Mathématiques 1ère Année (NATHAN),1000,manuel,Homologué,Maternelle 1ère année,
MAT_645,"Dessin, Peinture, Coloriage : Je Pratique Le Dessin Et Le Coloriage (AFRICA EDUCATION)",1000,manuel,Homologué,Maternelle 2ème année,
MAT_4169,Langage : Les Majors En Activité De Langage Maternelle 2ème Année (ASVA),1000,manuel,Homologué,Maternelle 2ème année,
MAT_39,Mathématiques : Mon Cahier D’activités De Mathématiques 2ème Année (NATHAN),1000,manuel,Homologué,Maternelle 2ème année,
SIL_6382,Anglais : LIVRET D’ACTIVITE D’ANGLAIS ((GLOBAL INDUSTRIES),1000,manuel,Homologué,SIL,
SIL_7035,Anglais: INCLUSIVE ENGLISH SIL (GLOBAL INDUSTRIES),1800,manuel,Homologué,SIL,
SIL_3558,EDUCATION A LA CITOYENNETE (SIL/CP) (NATHAN),1500,manuel,Homologué,SIL,
SIL_5955,Ecriture : Graphisme Sil (AFRICA Education),1200,manuel,Homologué,SIL,
SIL_7427,Français : CHAMPIONS EN FRANÇAIS SIL (HACHETTE\CLE),1500,manuel,Homologué,SIL,
SIL_3114,"Français : LIVRET D’ACTIVITE DE FRANÇAIS, SIL (HACHETTE/CLE)",1300,manuel,Homologué,SIL,
SIL_9147,Lecture : Syllabaire SIL Et CP (AFRICA EDUCATION),1500,manuel,Homologué,SIL,
SIL_7580,Mathématique : LIVRET D’ACTIVITES DE MATHEMATIQUE SIL(NATHAN),1000,manuel,Homologué,SIL,
SIL_9493,Mathématiques : A VOS MATHS ! SIL (nathan),1500,manuel,Homologué,SIL,
SIL_3382,Science Et Technologie : MAJORS EN SCIENCE ET TECHNOLOGIE SIL (ASVA EDUCATION),1500,manuel,Homologué,SIL,
SIL_8446,TIC (SIL/CP) : LES BRILLANTS EN TIC. SIL ET CP (NMI EDUCATION),1500,manuel,Homologué,SIL,
CP_3363,Anglais : LES BRILLIANTS EN ENGLAIS CP (NMI EDUCATION),1800,manuel,Homologué,CP,
CP_8875,Anglais : Livret D’activités D’anglais CP (NMI EDUCATION),1200,manuel,Homologué,CP,
CP_3558,EDUCATION A LA CITOYENNETE (SIL/CP) (NATHAN),1500,manuel,Homologué,CP,
CP_869,Ecriture : MON CAHIER DE GRAPHISME (COSMOS),1200,manuel,Homologué,CP,
CP_8329,Français : Champions En Français CP (hachette/cle),1500,manuel,Homologué,CP,
CP_7651,"Français : LIVRET D’ACTIVITE DE FRANÇAIS CP, CP(HACHETTE/CLE)",1300,manuel,Homologué,CP,
CP_9147,Lecture : Syllabaire SIL Et CP (AFRICA EDUCATION),1500,manuel,Homologué,CP,
CP_1309,Mathématiques : A VOS MATHS ! (NATHAN),1500,manuel,Homologué,CP,
CP_5895,Mathématiques : LIVRET D’ACTIVITES DE MATHEMATIQUES CP (NATHAN),1250,manuel,Homologué,CP,
CP_8908,Science Et Technologie : MAJORS EN SCIENCE (ASVA),1500,manuel,Homologué,CP,
CP_513,TIC : LES BRILLANTS (SIL-CP) (NMI EDUCATION),1500,manuel,Homologué,CP,
CE _8337,Anglais : ANGLAIS CE1 (COSMOS),1800,manuel,Homologué,CE I,
CE _7533,Anglais : LIVRET D’ACTIVITES D’ANGLAIS (COSMOS),1100,manuel,Homologué,CE I,
CE _2832,Français : FRANÇAIS CE1 (NATHAN),1800,manuel,Homologué,CE I,
CE _5881,Français : LIVRET D’ACTIVITE DE FRANÇAIS CE1 (NATHAN),1150,manuel,Homologué,CE I,
CE _9673,Lecture : SYLLABAIRE CE1 ET CE2 (BELLES LETTRES),1500,manuel,Homologué,CE I,
CE _8745,Littérature : COMMENT ÇA VA BENJAMIN ? (AFRICA EDUCATION),1000,manuel,Homologué,CE I,
CE _740,Mathématiques : LIVRET D’ACTIVITE DE MATHEMATIQUES CE1(AFRICA EDUCATION),1150,manuel,Homologué,CE I,
CE _4312,Mathématiques : MATHEMATIQUES CE1 (AFRICA EDUCATION),1800,manuel,Homologué,CE I,
CE _5181,Science Et Technologie : SCIENCE ET TECHNOLOGIE CE1 (ASVA),1600,manuel,Homologué,CE I,
CE _2246,"Sciences Humaines Et Sociales : HISTOIRE, GEOGRAPHIE ET EDUCATION A LA CITOYENNETE CE1 (EDICEF)",1800,manuel,Homologué,CE I,
CE _4255,TIC : INFORMATIQUE (CE1-CE2) (COSMOS),1600,manuel,Homologué,CE I,
CE _8312,Anglais : LES BRILLANTS EN ANGLAIS (NMI Education),1800,manuel,Homologué,CE II,
