code,ville,prix
FOUR0001,Yaoundé,300
FOUR0002,Yaoundé,500
FOUR0003,Yaoundé,1000
FOUR0004,Yaoundé,2000
FOUR0005,Yaoundé,3500
FOUR0006,Yaoundé,200
FOUR0007,Yaoundé,200
FOUR0008,Yaoundé,4000
FOUR0009,Yaoundé,2000
FOUR0010,Yaoundé,250
FOUR0011,Yaoundé,250
FOUR0012,Yaoundé,300
FOUR0013,Yaoundé,300
FOUR0014,Yaoundé,350
FOUR0015,Yaoundé,600
FOUR0016,Yaoundé,600
FOUR0017,Yaoundé,1000
FOUR0018,Yaoundé,700
FOUR0019,Yaoundé,700
FOUR0020,Yaoundé,750
FOUR0021,Yaoundé,750
FOUR0022,Yaoundé,1300
FOUR0023,Yaoundé,1500
FOUR0024,Yaoundé,1800
FOUR0025,Yaoundé,700
FOUR0026,Yaoundé,700
FOUR0027,Yaoundé,750
FOUR0028,Yaoundé,750
FOUR0029,Yaoundé,1300
FOUR0030,Yaoundé,1500
FOUR0031,Yaoundé,1800
FOUR0032,Yaoundé,3000
FOUR0033,Yaoundé,2000
FOUR0034,Yaoundé,2500
FOUR0035,Yaoundé,1500
FOUR0036,Yaoundé,1700
FOUR0037,Yaoundé,2800
FOUR0038,Yaoundé,3000
FOUR0039,Yaoundé,3000
FOUR0040,Yaoundé,4500
FOUR0041,Yaoundé,6000
FOUR0042,Yaoundé,3500
FOUR0043,Yaoundé,3500
FOUR0044,Yaoundé,6000
FOUR0045,Yaoundé,6500
FOUR0046,Yaoundé,5000
FOUR0047,Yaoundé,4500
FOUR0048,Yaoundé,6000
FOUR0049,Yaoundé,3500
FOUR0050,Yaoundé,3500
FOUR0051,Yaoundé,6000
FOUR0052,Yaoundé,6500
FOUR0053,Yaoundé,5000
FOUR0054,Yaoundé,200
FOUR0055,Yaoundé,300
FOUR0056,Yaoundé,325
FOUR0057,Yaoundé,350
FOUR0058,Yaoundé,200
FOUR0059,Yaoundé,300
FOUR0060,Yaoundé,325
FOUR0061,Yaoundé,350
FOUR0062,Yaoundé,1000
FOUR0063,Yaoundé,1500
FOUR0064,Yaoundé,1700
FOUR0065,Yaoundé,1300
FOUR0066,Yaoundé,1700
FOUR0067,Yaoundé,2000
FOUR0068,Yaoundé,2500
FOUR0069,Yaoundé,2000
FOUR0070,Yaoundé,2000
FOUR0071,Yaoundé,2500
FOUR0072,Yaoundé,1500
FOUR0073,Yaoundé,2000
FOUR0074,Yaoundé,2000
FOUR0075,Yaoundé,2500
FOUR0076,Yaoundé,1500
FOUR0077,Yaoundé,5500
FOUR0078,Yaoundé,6500
FOUR0079,Yaoundé,3500
FOUR0080,Yaoundé,4500
FOUR0081,Yaoundé,5500
FOUR0082,Yaoundé,6500
FOUR0083,Yaoundé,3500
FOUR0084,Yaoundé,4500
FOUR0085,Yaoundé,200
FOUR0086,Yaoundé,2000
FOUR0087,Yaoundé,250
FOUR0088,Yaoundé,3000
FOUR0089,Yaoundé,2500
FOUR0090,Yaoundé,2500
FOUR0091,Yaoundé,3000
FOUR0092,Yaoundé,1500
FOUR0093,Yaoundé,4000
FOUR0094,Yaoundé,1500
FOUR0095,Yaoundé,2000
FOUR0096,Yaoundé,2500
FOUR0096,Yaoundé,3000
FOUR0097,Yaoundé,1500
FOUR0098,Yaoundé,500
FOUR0099,Yaoundé,1000
FOUR0100,Yaoundé,1000
FOUR0101,Yaoundé,500
FOUR0102,Yaoundé,500
FOUR0103,Yaoundé,500
FOUR0104,Yaoundé,2000
