DESIGNATIONS;PRIX
Couvertures cahiers;100
Couvertures cahiers transparentes;100
Couvre-livres Adhésif rouleau (A);1500
Couvre-livres Adhésif rouleau (B);2000
Crayon BIC HB;1 500
Crayon de couleur TIP TOP BG104-12;2 000
Crayon HB conté;1000
Effaçoir T-167;1000
Emballage cadeaux;500
Feuilles Mobiles;500
Feutres (A);2500
Feutres (B);1500
Feutres GIOTTO Maxi-Washable;2500
Flutes;3200
Globe (A);11000
Globe (B);23000
Gomme;100
Gouache GIOTTO;2500
Pinceau;2500
Tablier;3000
Ledger 300 pages;2000
Ledger 400 pages;2500
Ledger 500 pages;3000
Ledger 80 leaves;1800
Ledger 200 leaves SQ et PL;1500
Marqueurs;2500
Modeling clay DINOSAUR T500T-DI;2500
Name LABEL Smile;1000
Panoplis Géométries;500
Papier crepon CANSON;1000
Pattes à modéler YOUQI;2500
Peinture Acrylic 500ml;3000
Pinceaux;1000
Plain and square 100 leaves;500
Plastic Decor DOMS de 12;2500
Plumes;1000
Pot de colle Bobo;500
Pat Bic Crystal;5500
Paquet de Bic Schneider;6000
Pat de Chemises cartonnées;3800
Pat de craie GIOTTO;1700
Rame de format (70g);3000
Red and blue lines 20 leaves R et B line;200
Red and blue lines 40 leaves;200
Red and blue lines 60 leaves;200
Red and blue lines 80 leaves;200
Règle 20 cm;250
Regle 30 cm;200
Rouleau couvre-livres;2 000
Scissors;1 000
Scotch (A);500
Scotch (B);1 000
Taille crayon;200
Trousse;2500
Yeux artificiels;1000
Zip file;1000
Bloc Note;500
Agenda;2500
Chemise A Rabat;500
Chemise Cartonné;100
Sous - Chemise;50
