CLASSE;LIVRES;PRIX
Maternelle 1ère année;Langage : Mon cahier d’activités de langage 1ère année (NATHAN);1 000
Maternelle 1ère année;Mathématiques : Mon cahier d’activités de mathématiques 1ère année (NATHAN);1 000
Maternelle 1ère année;Dessin, Peinture, Coloriage : Je pratique le dessin et le coloriage (AFRICA EDUCATION);1 000
Maternelle 2ème année;Langage : Les Majors en activité de langage Maternelle 2ème année (ASVA);1 000
Maternelle 2ème année;Mathématiques : Mon cahier d’activités de mathématiques 2ème année (NATHAN);1 000
Maternelle 2ème année;Dessin, Peinture, Coloriage : Je pratique le dessin et le coloriage (AFRICA EDUCATION);1 000
6e;EDUCATION A LA CITOYENNETE 6ème/5ème (MONDOUX);3 500
6e;Mathématiques : MATHEMATIQUES 6EME (MONDOUX);4 000
6e;Sciences : SCIENCES 6 EME (AFRICA EDUCATION);5 000
6e;Informatique : INFORMATIQUE 6EME (ECLOSION);3 500
5e;Langue Française : FRANÇAIS 5EME (AFRICA EDUCATION);4 500
5e;L’ARBRE FETICHE (CLE);2 000
5e;N’KUM-WAM, LE HUITIEME NOTABLE(AFREDIT);2 000
5e;PERE INCONNU (EDICEF / NEA);2 000
5e;Anglais: ANGLAISE 5EME (AFRICA EDUCATION);4 500
5e;Latin: LATINISTAS 6/5 EME(ECLOISION);5 000
5e;HISTOIRE: PLANETE CAMEROUN 5 /6 EME (HATIER ERA);4 200
5e;Géographie: PLANETE CAMEROUN 5EME (EDICEF ERA);4 300
5e;Education à la citoyenneté 6ème/5ème (Mondoux);3 500
5e;Mathématiques : Mathématiques 5EME (COSMOS);4 200
5e;Sciences : SCIENCE 5EME (CLE);4 000
5e;Informatique : INFORMATIQUE 5 EME (NMI);4 000
4e ALL;Langue Française : Français 4ème (AFRICA EDUCATION);5 000
4e ALL;Trois prétendants, un mari (CLE);2 500
4e ALL;LATTACHEMENT AU SOL NATAL (IFRIKIYA);1 900
4e ALL;CŒUR DU SAHEL (PROXIMITE);2 500
4e ALL;Anglais : LEVEIL EN ANGLAIS 4 EME (NMI);4 000
4e ALL;Latin : LATINISTAS 4/5 EME (ECLOSION);5 000
4e ALL;Grec : je découvre la langue grec 4/ EME(ECLOSION);5 000
4e ALL;Histoire : Planète Cameroun. Histoire 4ème (HATIER ERA);3 700
4e ALL;Géographie : Planète Cameroun 4ème (EDICEF ERA);4 300
4e ALL;Education à la citoyenneté 4ème et 3ème /. (Mondoux);3 500
4e ALL;Allemand : ERWACHEN/ALLEMAND 4EME (NMI);4 500
4e ALL;Mathématiques : MATHEMATIQUES 4EME (Belles Lettres);4 500
4e ALL;SVTEEHB : SVTEHB 4EME (MONDOUX);4 000
4e ALL;Physique, Chimie, Technologie 4EME (NMI);4 200
4e ALL;Informatique : INFORMATIQUE 4EME (ECLOSION);4 000
4e ESP;Langue Française : Français 4ème (AFRICA EDUCATION);5 000
4e ESP;Trois prétendants, un mari (CLE);2 500
4e ESP;LATTACHEMENT AU SOL NATAL (IFRIKIYA);1 900
4e ESP;CŒUR DU SAHEL (PROXIMITE);2 500
4e ESP;Anglais : LEVEIL EN ANGLAIS 4 EME (NMI);4 000
4e ESP;Latin : LATINISTAS 4/3 EME (ECLOSION);5 000
4e ESP;Grec : je découvre la langue grec 4/5 EME(ECLOSION);5 000
4e ESP;Histoire : Planète Cameroun. Histoire 4ème (HATIER ERA);3 700
4e ESP;Géographie : Planète Cameroun 4ème (EDICEF ERA);4 300
4e ESP;Education à la citoyenneté 4ème et 3ème /. (Mondoux);3 500
4e ESP;Espagnole: NUEVA DIDACTICA DEL ESPANOL I (HABIBI);5 500
4e ESP;Mathématiques : MATHEMATIQUES 4EME (Belles Lettres);4 500
4e ESP;SVTEEHB : SVTEHB 4EME (MONDOUX);4 000
4e ESP;Physique, Chimie, Technologie 4EME (NMI);4 200
4e ESP;Informatique : INFORMATIQUE 4EME (ECLOSION);4 000
4e CHINOIS;Langue Française : Français 4ème (AFRICA EDUCATION);5 000
4e CHINOIS;Trois prétendants, un mari (CLE);2 500
4e CHINOIS;L’ATTACHEMENT AU SOL NATAL (IFRIKIYA);1 900
4e CHINOIS;CŒUR DU SAHEL (PROXIMITE);2 500
4e CHINOIS;Anglais : LEVEIL EN ANGLAIS 4 EME (NMI);4 000
4e CHINOIS;Latin : LATINISTAS 4/3EME (ECLOSION);5 000
4e CHINOIS;Grec : je découvre la langue grec 4/5 EME(ECLOSION);5 000
4e CHINOIS;Histoire : Planète Cameroun. Histoire 4ème (HATIER ERA);3 700
4e CHINOIS;Géographie : Planète Cameroun 4ème (EDICEF ERA);4 300
4e CHINOIS;Education à la citoyenneté 4ème et 3ème /. (Mondoux);3 500
4e CHINOIS;Chinois : JAIME LE CHINOIS 4EME (AFRICA EDUCATION);5 500
4e CHINOIS;Mathématiques : MATHEMATIQUES 4EME (Belles Lettres);4 500
4e CHINOIS;SVTEEHB : SVTEHB 4EME (MONDOUX);4 000
4e CHINOIS;Physique, Chimie, Technologie 4EME (NMI);4 200
4e CHINOIS;Informatique : INFORMATIQUE 4EME (ECLOSION);4 000
4e ITALIEN;Langue Française : Français 4ème (AFRICA EDUCATION);5 000
4e ITALIEN;Trois prétendants, un mari (CLE);2 500
4e ITALIEN;LATTACHEMENT AU SOL NATAL (IFRIKIYA);1 900
4e ITALIEN;CŒUR DU SAHEL (PROXIMITE);2 500
4e ITALIEN;Anglais : LEVEIL EN ANGLAIS 4 EME (NMI);4 000
4e ITALIEN;Latin : LATINISTAS 4/3 EME (ECLOSION);5 000
4e ITALIEN;Grec : je découvre la langue grec 4/5 EME(ECLOSION);5 000
4e ITALIEN;Histoire : Planète Cameroun. Histoire 4ème (HATIER ERA);3 700
